method,label,set_precision,set_recall,set_f1,ordered_precision,lcs_r,kendall_tau,transition_acc,first_tool_acc
semantic_only,Semantic Only,0.2327,0.3295,0.2661,0.1226,0.2597,0.0421,0.0699,0.262
beam,Beam Search,0.2331,0.2661,0.2401,0.1486,0.2127,0.0893,0.0989,0.206
hybrid,Hybrid Sem-Graph,0.2521,0.3162,0.2714,0.1296,0.2473,0.0441,0.0818,0.262
ts_sem_semsort,TS-Sem + Sem-Sort,0.2327,0.3295,0.2661,0.1226,0.2597,0.0421,0.0699,0.262
ts_sem_hybrid_rerank,TS-Sem + Hybrid-Rerank,0.2327,0.3295,0.2661,0.1415,0.2673,0.0799,0.0842,0.256
ts_hybrid_semsort,TS-Hybrid + Sem-Sort ★,0.2521,0.3162,0.2714,0.1329,0.2482,0.0508,0.0832,0.262
ts_hybrid_optimal_perm,TS-Hybrid + Optimal-Perm ★,0.2521,0.3162,0.2714,0.1507,0.256,0.0863,0.0971,0.2266
ts_hybrid_hybrid_rerank,TS-Hybrid + Hybrid-Rerank ★,0.2521,0.3162,0.2714,0.1519,0.2564,0.0888,0.0969,0.2516
ts_hybrid_learned_rerank,TS-Hybrid + Learned-Rerank ★,0.2521,0.3162,0.2714,0.1556,0.2571,0.0961,0.0983,0.234
