method,bucket,label,precision_at_k,recall_at_k,f1_at_k,ordered_precision,lcs_r,transition_accuracy,first_tool_accuracy,latency_ms
semantic_only,1-2,Semantic Only (BL),0.3247,0.3313,0.3269,0.0988,0.3643,0.0988,0.3033,0.2772
semantic_only,3-4,Semantic Only (BL),0.2389,0.2926,0.2583,0.128,0.2111,0.0561,0.242,0.2762
semantic_only,5+,Semantic Only (BL),0.2034,0.3006,0.2359,0.1768,0.1744,0.0485,0.2334,0.2705
beam,1-2,Beam Search,0.2665,0.2714,0.2681,0.1317,0.2936,0.1317,0.232,0.5677
beam,3-4,Beam Search,0.1972,0.2399,0.2127,0.1563,0.178,0.0852,0.1919,0.5771
beam,5+,Beam Search,0.1394,0.2129,0.1641,0.1628,0.129,0.0628,0.1974,0.5806
hybrid,1-2,Hybrid Sem-Graph,0.3318,0.3383,0.3339,0.1151,0.3548,0.1151,0.3033,0.6992
hybrid,3-4,Hybrid Sem-Graph,0.2309,0.2817,0.2494,0.1382,0.2013,0.0688,0.242,0.6871
hybrid,5+,Hybrid Sem-Graph,0.1619,0.2437,0.1891,0.1421,0.1429,0.0468,0.2334,0.6819
ts_semantic_sort,1-2,TS + Sem-Sort (before),0.3247,0.3313,0.3269,0.0988,0.3643,0.0988,0.3033,0.2716
ts_semantic_sort,3-4,TS + Sem-Sort (before),0.2249,0.2753,0.2431,0.1146,0.2007,0.0525,0.242,0.2763
ts_semantic_sort,5+,TS + Sem-Sort (before),0.1613,0.245,0.1888,0.1243,0.1417,0.0368,0.2334,0.2684
ts_greedy_graph,1-2,TS + Greedy-Graph ★,0.3303,0.3369,0.3325,0.0983,0.364,0.0983,0.3033,0.0035
ts_greedy_graph,3-4,TS + Greedy-Graph ★,0.2249,0.2753,0.2431,0.1119,0.2001,0.0517,0.242,0.0035
ts_greedy_graph,5+,TS + Greedy-Graph ★,0.1613,0.245,0.1888,0.1232,0.1415,0.0362,0.2334,0.0035
ts_greedy_gnn,1-2,TS + Greedy-GNN ★,0.3193,0.326,0.3215,0.0962,0.363,0.0962,0.3033,0.0041
ts_greedy_gnn,3-4,TS + Greedy-GNN ★,0.2249,0.2753,0.2431,0.112,0.1991,0.05,0.242,0.004
ts_greedy_gnn,5+,TS + Greedy-GNN ★,0.1613,0.245,0.1888,0.129,0.1421,0.0365,0.2334,0.0042
ts_optimal_perm,1-2,TS + Optimal-Perm ★,0.2985,0.3051,0.3007,0.1131,0.3714,0.1131,0.264,0.0067
ts_optimal_perm,3-4,TS + Optimal-Perm ★,0.2249,0.2753,0.2431,0.1303,0.2069,0.0614,0.2209,0.0067
ts_optimal_perm,5+,TS + Optimal-Perm ★,0.1613,0.245,0.1888,0.1519,0.149,0.048,0.2454,0.0067
ts_hybrid_rerank,1-2,TS + Hybrid-Rerank ★,0.3144,0.3211,0.3167,0.1131,0.3714,0.1131,0.2897,0.01
ts_hybrid_rerank,3-4,TS + Hybrid-Rerank ★,0.2249,0.2753,0.2431,0.1331,0.2076,0.0619,0.2374,0.0101
ts_hybrid_rerank,5+,TS + Hybrid-Rerank ★,0.1613,0.245,0.1888,0.1545,0.1496,0.0479,0.2541,0.01
